game_name,scaled_rating
LOVE,0.894095199
Blade & Sorcery,0.850194486
Binary Domain,0.838479487
Age of Empires® III (2007),0.870040139
Fishermurs,0.789473684
Crusader Kings II,0.868883197
1931: Scheherazade at the Library of Pergamum,0.635580178
Tiny Echo,0.855263158
TrackMania United Forever,0.939337538
Monster Castle,0.391812865
Controller Companion,0.904510134
Adventuring gentleman,0.598997494
NeuroVoider,0.758207399
Zero-K,0.898245614
Yoku's Island Express,0.961415567
FINAL TAKE,0.458646617
Terraria,0.966762999
The Elder Scrolls V: Skyrim,0.933451649
Blood Bowl 2,0.681004029
MorphVOX Pro 4 - Voice Changer,0.501351567
Supreme Commander 2,0.837490826
Adventure Time: Pirates of the Enchiridion,0.832224239
Eternal Card Game,0.74945003
Slime Rancher,0.956952373
EARTHLOCK,0.82199401
White Day: A Labyrinth Named School,0.630000222
8-Bit Invaders!,0.785723851
West of Loathing,0.973309438
Wuppo - Definitive Edition,0.944046162
Idling to Rule the Gods,0.848153718
Fable - The Lost Chapters,0.913921282
DUO,0.730526316
Floating Point,0.954110504
Europa Universalis IV,0.809307631
Pharaoh + Cleopatra,0.822340662
Cities in Motion,0.743644826
GUNGRAVE VR,1
Deceit,0.725776503
Max Payne 3,0.810781818
Dex,0.85613856
SoulWorker,0.72790829
200% Mixed Juice!,0.807518797
LEGO® Harry Potter: Years 5-7,0.840475505
Two Worlds II,0.54889771
BADLAND: Game of the Year Edition,0.820511853
Rift's Cave,0.352226721
Risen,0.851828986
Transformice,0.820470188
Tumblestone,0.756289949
Ryse: Son of Rome,0.815697859
Snapshot,0.691480954
A Legend of Luca,0.814794718
DARK SOULS™ II: Scholar of the First Sin,0.840792141
AI War: Fleet Command,0.824828433
The Bridge,0.873667321
DreadOut,0.726195738
Soda Dungeon,0.930260434
Warriors' Wrath,0.669762642
Awesomenauts,0.831082943
Rabi-Ribi,0.971858206
Budget Cuts,0.726939855
Granado Espada,0.543514524
Serious Sam 2,0.869824851
USA 2020,0.822714681
Polyball,0.801169591
AR-K,0.534574141
Grimoire: Manastorm,0.655106759
Castle Crashers,0.955740773
Call to Arms,0.696469771
Kingdom: Classic,0.873606954
Lamplight City,0.906432749
X-Plane 11,0.799110053
Northgard,0.821160832
Outward,0.697074411
Holyday City: Reloaded,0.811909754
Treadnauts,0.847298246
Z1 Battle Royale,0.493244727
Momodora III,0.917033964
CrossCode,0.942446506
Super Blood Hockey,0.915913131
Life is Strange 2,0.81283266
Her Story,0.886948968
Neon Drive,0.805326265
Machinarium,0.948005429
Elsword,0.729243312
Onimusha: Warlords,0.920743034
Call of Duty 4: Modern Warfare,0.903433421
Star Traders: Frontiers,0.872007664
The Darkside Detective,0.949536764
Through the Woods,0.705375439
Overcooked! 2,0.784440003
LISA,0.950443211
Tomb Raider: Anniversary,0.81437657
The Turing Test,0.844001084
Retro City Rampage™ DX,0.878628957
Depression Quest,0.530193905
Heileen 1: Sail Away,0.489633173
The Station,0.788407188
Duke Nukem 3D: 20th Anniversary World Tour,0.797826203
Kane & Lynch: Dead Men,0.582479568
Interplay Solitaire,0.550877193
Blade Strangers,0.682972136
Mana Spark,0.854948376
Dream Of Mirror Online,0.477014833
Tomb Raider: Underworld,0.718943376
Borderlands GOTY Enhanced,0.597748264
SNK HEROINES Tag Team Frenzy,0.707504054
LET IT DIE,0.629921932
Timespinner,0.845194381
Stronghold HD,0.929978503
The Jackbox Party Pack 3,0.943538847
Just Cause 2,0.901597921
Stronghold Crusader HD,0.955077149
Stronghold Legends,0.737940678
Mafia,0.894019264
Albion Online,0.504849079
Serious Sam HD: The First Encounter,0.92841074
Slasher's Keep,0.905381431
BROKE PROTOCOL: Online City RPG,0.587351034
DuckTales Remastered,0.842185415
Sins of a Solar Empire: Rebellion,0.914535108
The Beginner's Guide,0.845819445
Robot Roller-Derby Disco Dodgeball,0.914819268
The Norwood Suite,0.786864421
Clue/Cluedo: The Classic Mystery Game,0.816148559
OZMAFIA!!,0.865933491
The House in Fata Morgana,0.971763729
Geometry Wars: Retro Evolved,0.892071263
Yet Another Zombie Defense,0.849788089
Unavowed,0.959008632
POSTAL Redux,0.892898783
Mage's Initiation: Reign of the Elements,0.847754981
Dyna Bomb,0.83488132
Dreamfall Chapters,0.813914024
Dishonored,0.966883391
EVE Online,0.714791508
SimAirport,0.747098362
Otem's Defiance,1
Altitude,0.913837351
Transistor,0.944052241
UFO: Afterlight,0.550877193
RACE 07,0.807708246
The Banner Saga,0.883292461
Hell Yeah!,0.845105453
Deus Ex: Human Revolution - Director's Cut,0.903031376
Healer's Quest,0.916051812
Friday the 13th: Killer Puzzle,0.932016838
Hidden in Plain Sight,0.985226223
Lamia's Game Room,0.570691435
Car Mechanic Simulator 2014,0.795327377
Sniper Elite 3,0.769122194
Torchlight,0.914068125
American Truck Simulator,0.914146961
Blackout Z: Slaughterhouse Edition,0.913630229
Worms World Party Remastered,0.460768825
CreativeDestruction,0.76781587
Bastion,0.957466203
Sid Meier's Civilization IV: Beyond the Sword,0.949312405
The Guest,0.767063347
BioShock Infinite,0.948152006
The Vagrant,0.888192749
Pinball Arcade,0.694770908
The Witcher Adventure Game,0.761576781
Space Pirates and Zombies,0.909889941
FlatOut 4: Total Insanity,0.454557283
Devil May Cry HD Collection,0.834095041
Motorcycle Club,0.141382869
Factory Town,0.868011413
Point Perfect,0.670135791
Sid Meier's Civilization V,0.953576128
S.T.A.L.K.E.R.: Call of Pripyat,0.950411642
Last Heroes 2,0.719298246
Hentai 3018,0.689832316
Project Warlock,0.863613836
Outlast,0.954238567
Cargo! - The quest for gravity,0.756499683
Whispers of a Machine,0.943859649
Mark of the Ninja: Remastered,0.93784225
Carcassonne: The Official Board Game,0.736310473
Magicka 2,0.751923374
Cthulhu Saves the World ,0.919332312
Return to Castle Wolfenstein,0.907769424
Zup!,0.933460595
Love Letter,0.881809788
